date,Loc,Avg,Low,High
2022-07-01,143,29.8,24,36.2
2022-07-02,143,29.9,22.5,36.8
2022-07-03,143,29.3,25.3,35.1
2022-07-04,143,28.8,25.8,32.8
2022-07-05,143,28.8,24.6,33
2022-07-06,143,28.5,25.3,33.8
2022-07-07,143,29.7,25.1,35.3
2022-07-08,143,28.5,26,33.6
2022-07-09,143,28.7,24.3,33.8
2022-07-10,143,28.1,24.1,33.4
2022-07-11,143,26.4,23.9,29.7
2022-07-12,143,25.6,23.6,29.4
2022-07-13,143,24.4,22.5,27.7
2022-07-14,143,28.2,23.1,33.6
2022-07-15,143,28.3,23.3,33.2
2022-07-16,143,26.8,21.4,34
2022-07-17,143,27.3,21.5,33
2022-07-18,143,22.9,21.6,27.2
2022-07-19,143,27.6,22.6,34.1
2022-07-20,143,29.4,25.4,34.1
2022-07-21,143,26,21.8,32.3
2022-07-22,143,25.8,22.6,29.7
2022-07-23,143,24.9,22.1,28.6
2022-07-24,143,27.4,22.3,32
2022-07-25,143,28.8,24.9,35.5
2022-07-26,143,26.9,23.1,34
2022-07-27,143,25.6,22,29.9
2022-07-28,143,26.2,24.2,29.6
2022-07-29,143,28.7,24.5,33.9
2022-07-30,143,27.8,25.9,30.3
2022-07-31,143,27.1,25.3,29.5
